topic_id,topic,subfield,field,domain,works_count,keywords,description
T12729,Tree Root and Stability Studies,Mechanical Engineering,Engineering,Physical Sciences,51048,Root Reinforcement; Slope Stability; Mechanical Effects; Plant Roots; Wind Damage; Soil Reinforcement; Forest Management; Biomechanics; Landslides; Vegetation,"This cluster of papers focuses on the mechanical effects of plant roots, particularly their role in reinforcing soil and enhancing slope stability. It explores "
T14291,Indonesian Legal and Regulatory Studies,Political Science and International Relations,Social Sciences,Social Sciences,51037,Omnibus Law; Legal System; Environmental Law; Criminal Justice; Regulatory Reform; Intellectual Property; Labor Relations; Judicial Practice; Human Rights; Legal Education,"This cluster of papers covers a wide range of legal and regulatory topics, with a focus on Indonesia and China. It includes discussions on Omnibus Law, environm"
T12517,Seventeenth-Century Political and Philosophical Thought,Philosophy,Arts and Humanities,Social Sciences,51014,Hugo Grotius; Thomas Hobbes; Spinoza; Enlightenment; International Law; Sovereignty; Natural Rights; Colonialism; Ethics; Theology,"This cluster of papers explores the development of political thought in the early modern era, focusing on key figures such as Hugo Grotius, Thomas Hobbes, and S"
T12221,Cybersecurity and Cyber Warfare Studies,Political Science and International Relations,Social Sciences,Social Sciences,50946,Cyber Security; Internet Governance; Global Cybersecurity; Cyber Warfare; Digital Sovereignty; Public-Private Partnerships; International Law; Information Warfare; Cyber Deterrence; State Control,"This cluster of papers explores the global governance, security, and warfare in cyberspace, covering topics such as cyber security, internet governance, digital"
T11628,Myeloproliferative Neoplasms: Diagnosis and Treatment,Genetics,Medicine,Health Sciences,50941,JAK2 Mutation; Myelofibrosis; Polycythemia Vera; Thrombocythemia; CALR Mutation; Prognostic Scoring System; Ruxolitinib Therapy; Hematologic Response; Leukemic Transformation; Stem Cell Transplantatio,"This cluster of papers focuses on the molecular pathogenesis, diagnosis, treatment, and prognosis of myeloproliferative disorders such as polycythemia vera, ess"
T12335,"Sexuality, Behavior, and Technology",Clinical Psychology,Psychology,Social Sciences,50936,Hypersexual Disorder; Pornography Consumption; Compulsive Sexual Behavior; Internet Pornography; Sexual Addiction; Adolescent Exposure; Psychological Impact; Treatment Approaches; Gender Differences; ,"This cluster of papers explores the phenomenon of hypersexual disorder, compulsive sexual behavior, and the consumption of pornography, particularly on the inte"
T12161,Plant Surface Properties and Treatments,Plant Science,Agricultural and Biological Sciences,Life Sciences,50933,Cuticular Wax; Biosynthesis; Suberin; Transcription Factors; Drought Tolerance; Lipid Barrier; ABC Transporter; Water Loss; Biopolymer; Plant Surface Properties,"This cluster of papers focuses on the formation, function, and regulation of plant cuticles, including the biosynthesis of cuticular wax and suberin, the role o"
T13727,Linguistic and Sociocultural Studies,Linguistics and Language,Social Sciences,Social Sciences,50925,Sociolinguistics; Language Diversity; Youth Language; Language Attitudes; Multilingualism; Language Policy; Urban Linguistics; Language Contact; Minority Languages; Political Discourse,"This cluster of papers explores the intersection of language, society, and culture, with a focus on sociolinguistics, language diversity, youth language, and la"
T10937,"Telomeres, Telomerase, and Senescence",Physiology,Medicine,Health Sciences,50890,Senescence; Telomere; Tumor Suppression; Inflammation; Oncogene-induced Senescence; DNA Damage Response; Senolytics; Stem Cells; Aging; Telomerase,"This cluster of papers explores the mechanisms and implications of cellular senescence, with a focus on telomere dynamics, tumor suppression, inflammation, DNA "
T11169,Silicon Nanostructures and Photoluminescence,Materials Chemistry,Materials Science,Physical Sciences,50886,Porous Silicon; Nanoparticles; Luminescent; Drug Delivery; Optical Properties; Bioimaging; Photoluminescence; Silicon Quantum Dots; Biocompatible; Electroluminescence,"This cluster of papers focuses on the synthesis, properties, and applications of porous silicon nanoparticles and nanostructures. It covers topics such as drug "
T11679,Craniofacial Disorders and Treatments,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,50871,Craniosynostosis; Neural Crest; FGF Signaling; Skull Vault Growth; Genetic Mutations; Osteogenesis; Positional Plagiocephaly; Treacher Collins Syndrome; Suture Development; Distraction Osteogenesis,"This cluster of papers focuses on the genetics, development, and management of craniofacial abnormalities such as craniosynostosis, Treacher Collins syndrome, a"
T12593,Communication in Education and Healthcare,Social Psychology,Psychology,Social Sciences,50828,Teacher Immediacy; Student Participation; Classroom Justice; Instructor Credibility; Student Motivation; Communication Apprehension; Teacher Self-Disclosure; Active Listening; Instructor Power; Studen,"This cluster of papers explores the complex dynamics of teacher-student relationships, focusing on factors such as teacher immediacy, student participation, cla"
T13721,Political Science Research and Education,Political Science and International Relations,Social Sciences,Social Sciences,50778,Political Science; Methodology; Relevance; Interdisciplinarity; Comparative Politics; Social Sciences; Public Policy; Academic Publishing; International Relations; Disciplinary History,"This cluster of papers encompasses the evolution, methodology, and relevance of political science research, including interdisciplinary approaches, comparative "
T10726,Career Development and Diversity,Safety Research,Social Sciences,Social Sciences,50729,Social Cognitive Theory; Career Development; STEM Education; Gender Disparities; Underrepresented Minorities; Self-Efficacy Beliefs; Role Models; Academic Aspirations; Work Satisfaction; Inclusive Sci,"This cluster of papers explores the application of Social Cognitive Theory in the context of career development, with a focus on STEM education, gender disparit"
T11280,Hemophilia Treatment and Research,Hematology,Medicine,Health Sciences,50696,Hemophilia; Factor VIII; Prophylaxis; Inhibitors; Recombinant Factor VIIa; Gene Therapy; Joint Disease; Coagulation Disorders; Efficacy; Safety,"This cluster of papers focuses on the management and treatment of hemophilia, including prophylaxis, inhibitors, gene therapy, and the impact on joint health. I"
T12182,Evolution and Science Education,History and Philosophy of Science,Arts and Humanities,Social Sciences,50681,Evolutionary Theory; Acceptance; Natural Selection; Religion; Education; Biology; Conceptual Change; Science and Religion; Teaching; Health,"This cluster of papers explores the understanding and acceptance of evolutionary theory, including topics such as natural selection, the influence of religion, "
T11002,Indoor Air Quality and Microbial Exposure,"Health, Toxicology and Mutagenesis",Environmental Science,Physical Sciences,50666,Indoor Air Quality; Airborne Microorganisms; Volatile Organic Compounds; Health Effects; Mold Exposure; Ventilation Rates; Bioaerosols; Formaldehyde Exposure; Asthma Symptoms; Sick Building Syndrome,"This cluster of papers focuses on the indoor air quality and its impact on human health, particularly in relation to exposure to airborne microorganisms, volati"
T13784,Jewish Identity and Society,Demography,Social Sciences,Social Sciences,50658,American Jews; Jewish identity; Diaspora; Israel; Education; Demography; Intermarriage; Religious identity; Community; Census,"This cluster of papers focuses on the contemporary American Jewish identity, including topics such as diaspora, Israel, education, demography, intermarriage, re"
T13362,Slime Mold and Myxomycetes Research,Biomedical Engineering,Engineering,Physical Sciences,50610,Physarum Polycephalum; Adaptive Transport Networks; Amoeboid Organism; Biological Computation; Optimal Transport Networks; Slime Mold; Network Formation; Cellular Automata Models; Behavioral Intellige,"This cluster of papers focuses on the biologically inspired adaptive network design, particularly in the context of amoeboid organisms such as Physarum Polyceph"
T10693,Blood transfusion and management,Biochemistry,Medicine,Health Sciences,50604,Blood Transfusion; Hemorrhage; Anemia; Tranexamic Acid; Cardiac Surgery; Critical Care; Red Blood Cell; Platelet Transfusion; Perioperative Management; Transfusion-related Acute Lung Injury,"This cluster of papers focuses on the effects of blood transfusion, including the use of tranexamic acid, in various clinical scenarios such as trauma, cardiac "
T11119,Urban Stormwater Management Solutions,Environmental Engineering,Environmental Science,Physical Sciences,50604,Urban Stormwater Management; Sustainable Drainage Systems; Low Impact Development Practices; Bioretention Technology; Urban Hydrology; Water Quality; Impervious Surfaces; Rainwater Harvesting; Polluta,"This cluster of papers focuses on urban stormwater management, sustainable drainage systems, and the impact of urbanization on hydrology and water quality. It c"
T10957,Photodynamic Therapy Research Studies,Pulmonary and Respiratory Medicine,Medicine,Health Sciences,50562,Photodynamic Therapy; Cancer Treatment; Photosensitizers; Singlet Oxygen; Antimicrobial; Nanoparticles; Tumor Imaging; Cell Death Pathways; Reactive Oxygen Species; Clinical Applications,"This cluster of papers focuses on the application of photodynamic therapy (PDT) in oncology and microbiology. It covers topics such as cancer treatment, photose"
T13163,Organizational Learning and Leadership,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",Social Sciences,50542,Learning Organization; Organizational Learning; Dimensions of Learning; Leadership; Organizational Culture; Knowledge Management; Employee Development; Change Management; Performance Improvement; Syst,"This cluster of papers explores the concept of learning organizations, focusing on dimensions, measurement, and validation of learning culture, as well as the r"
T14037,Arabic Language Education Studies,Education,Social Sciences,Social Sciences,50518,Authentic Learning; Online Learning; Multilingual Education; Active Learning; Pedagogical Innovation; Digital Learning; Teacher Training; Curriculum Development; Educational Technology; Student Engage,"This cluster of papers encompasses a wide range of topics related to innovations in education and learning methods. It includes research on authentic learning, "
T13589,Literary and Cultural Studies,Sociology and Political Science,Social Sciences,Social Sciences,50505,Discourse Analysis; Social Change; Communication; Rhetoric; Cultural Studies; Qualitative Research; Media; Identity; Community; Power,"This cluster of papers covers a wide range of topics related to discourse analysis, communication, rhetoric, and social change. It includes studies on cultural "
T10933,Real-Time Systems Scheduling,Hardware and Architecture,Computer Science,Physical Sciences,50495,Scheduling Algorithms; Hard Real-Time Systems; Multiprocessor Scheduling; WCET Analysis; Embedded Systems; Timing Analysis; Resource Allocation; Mixed-Criticality Systems; Feedback Control; RTOS,"This cluster of papers focuses on real-time scheduling algorithms, timing analysis, and resource allocation in the context of embedded systems. It covers topics"
T12298,Phytochemicals and Medicinal Plants,Complementary and alternative medicine,Medicine,Health Sciences,50494,Withania somnifera; Ocimum sanctum; Terminalia chebula; Immunomodulatory; Antioxidant; Cancer; Neuroprotective; Traditional Medicine; Herbal Extracts; Therapeutic Applications,"This cluster of papers explores the therapeutic potential of Ayurvedic medicine, focusing on plants like Withania somnifera, Ocimum sanctum, and Terminalia cheb"
T12682,Smart Materials for Construction,Pollution,Environmental Science,Physical Sciences,50494,Road Salt; Freshwater Salinization; Environmental Impact; Concrete Sensors; Carbon Nanotubes; Damage Detection; Electrical Resistance Measurement; Smart Structures; Environmental Monitoring; Water Qua,"This cluster of papers focuses on the impact of road salt and deicing chemicals on freshwater salinization, particularly in the northeastern United States. It e"
T10922,Magnetic Properties and Synthesis of Ferrites,Materials Chemistry,Materials Science,Physical Sciences,50475,Ferrite Nanoparticles; Synthesis; Magnetic Properties; Applications; Spinel Structure; Microwave Ferrites; Cobalt Ferrite; Magnetic Nanoparticles; Structural Characterization; Magnetic Behavior,"This cluster of papers focuses on the synthesis, structural characterization, magnetic properties, and diverse applications of ferrite nanoparticles, particular"
T12030,S100 Proteins and Annexins,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,50438,S100 Proteins; Inflammation; Calcium Modulated Proteins; Neurodegeneration; Cancer Biomarkers; Traumatic Brain Injury; Innate Immunity; Glial Fibrillary Acidic Protein; Metastasis; Phagocytes,"This cluster of papers focuses on the structure, function, and pathology of S100 proteins, a multigenic family of calcium-modulated proteins with roles in infla"
T12589,Differential Equations and Boundary Problems,Applied Mathematics,Mathematics,Physical Sciences,50433,Nonlocal; Partial Differential Equations; Boundary Value Problems; Inverse Problem; Solvability; Numerical Solution; Hyperbolic Equations; Parabolic Equations; Integro-Differential Equations; Green Fu,"This cluster of papers focuses on the study of nonlocal partial differential equations and boundary value problems, including topics such as solvability, numeri"
T10812,Human Pose and Action Recognition,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,50428,Action Recognition; Pose Estimation; Spatiotemporal Features; Convolutional Networks; 3D Human Pose; Skeleton-Based Recognition; Video Classification; Deep Learning; Human Activity Analysis; Temporal ,This cluster of papers focuses on the development and application of deep learning techniques for human action recognition and pose estimation. It covers topics
T13008,Agricultural Practices and Plant Genetics,Plant Science,Agricultural and Biological Sciences,Life Sciences,50405,Okra Genetics; Breeding; Genetic Variability; Antioxidant Properties; Nutritional Quality; Phenotypic Diversity; Abelmoschus esculentus; Path Analysis; Combining Ability; Heterosis,"This cluster of papers focuses on the genetic diversity, breeding, and nutritional properties of okra (Abelmoschus esculentus). It covers topics such as genetic"
T13552,Advanced Materials Characterization Techniques,Biomedical Engineering,Engineering,Physical Sciences,50391,Atom Probe Tomography; Three-Dimensional Analysis; Nanoscale Characterization; Specimen Preparation; Field Evaporation Behavior; Quantitative Analysis; Spatial Resolution; Crystallographic Mapping; Co,"This cluster of papers focuses on the advancements in atom probe tomography, a technique for three-dimensional nanoscale characterization of materials. The rese"
T12984,Transport and Logistics Innovations,Industrial and Manufacturing Engineering,Engineering,Physical Sciences,50389,Logistics; Transport; Management; Sustainability; Human Resource; Digitalization; Simulation; Supply Chain; Railway; Efficiency,"This cluster of papers focuses on various aspects of transportation and logistics management, including logistics systems design, sustainable human resource man"
T12520,Psychology of Moral and Emotional Judgment,Cognitive Neuroscience,Neuroscience,Life Sciences,50316,Moral Judgment; Disgust; Neuroscience; Emotion; Ethics; Social Intuition; Disease Avoidance; Utilitarianism; Psychology; Evolution,"This cluster of papers explores the neuroscience and psychology of moral judgment, with a focus on the role of disgust, emotion, and disease avoidance in ethica"
T10567,Vehicle Routing Optimization Methods,Industrial and Manufacturing Engineering,Engineering,Physical Sciences,50308,Vehicle Routing Problem; Heuristic Algorithms; Tabu Search; Dynamic Programming; Metaheuristics; Time Windows; Large-Scale Optimization; Green Logistics; Multi-Depot Routing; Hybrid Algorithms,"This cluster of papers focuses on the Vehicle Routing Problem (VRP) and its variants, including topics such as heuristic algorithms, tabu search, dynamic progra"
T11486,Micro and Nano Robotics,Condensed Matter Physics,Physics and Astronomy,Physical Sciences,50275,Hydrodynamics; Micro/Nanomotors; Self-Propulsion; Colloidal Particles; Swimming Microorganisms; Bacterial Motion; Biomedical Applications; Catalytic Nanomotors; Fluid Dynamics; Collective Behavior,"This cluster of papers explores the hydrodynamics, self-propulsion, and collective behavior of active matter, including swimming microorganisms, colloidal parti"
T13023,Synthesis of Organic Compounds,Pharmacology,Medicine,Health Sciences,50270,Chromones; Flavonoids; Medicinal Chemistry; Drug Discovery; Synthesis; Biological Activity; Anticancer Agents; Antioxidants; Microwave-Assisted Synthesis; Natural Occurrence,"This cluster of papers explores the diverse aspects of chromones and flavonoids, including their synthesis, biological activities, medicinal potential, and appl"
T10737,Health Literacy and Information Accessibility,General Health Professions,Health Professions,Health Sciences,50263,Health Literacy; eHealth; Internet Health Information; Patient-Physician Relationship; Social Support; Chronic Disease Management; Information Seeking Behavior; Digital Divide; Medical Communication; ,"This cluster of papers explores the impact of health literacy, eHealth, and internet health information on patient outcomes, the patient-physician relationship,"
T11496,Credit Risk and Financial Regulations,Finance,"Economics, Econometrics and Finance",Social Sciences,50228,Credit Spread Changes; Default Risk; Credit Default Swaps; Bond Yields; Credit Ratings; Sovereign Debt; Market Spreads; Liquidity; Rating Agencies; Corporate Bonds,"This cluster of papers explores the determinants of credit risk in financial markets, focusing on factors such as credit spread changes, default risk, credit de"
T10944,Turbomachinery Performance and Optimization,Aerospace Engineering,Engineering,Physical Sciences,50190,Turbine; Film Cooling; Transition Model; Axial Compressor; Heat Transfer; Stall and Surge; Boundary Layer; Separation Control; Blade Tip; Large-Eddy Simulation,"This cluster of papers focuses on the aerodynamics and heat transfer phenomena in turbomachinery, with specific emphasis on topics such as turbine performance, "
T11922,Cardiovascular Effects of Exercise,Cardiology and Cardiovascular Medicine,Medicine,Health Sciences,50189,Arrhythmogenic Right Ventricular Cardiomyopathy; Sudden Death; Athletes; Cardiac Screening; Genetic Mutations; Electrocardiogram Interpretation; Exercise-Induced Dysfunction; Implantable Cardioverter-,"This cluster of papers focuses on the diagnosis, management, and genetic aspects of Arrhythmogenic Right Ventricular Cardiomyopathy (ARVC) in athletes and young"
T14233,Diverse Topics in Contemporary Research,Cultural Studies,Social Sciences,Social Sciences,50153,Generation Z; Fashion; Metaverse; Text Mining; Social Media; Big Data Analysis; Virtual Reality; Ethical Consumption; Consumer Perception; Lifestyle,"This cluster of papers explores the fashion trends and consumer behavior of Generation Z, focusing on topics such as ethical fashion, metaverse platforms, virtu"
T14192,"Literature, Film, and Journalism Analysis",Literature and Literary Theory,Arts and Humanities,Social Sciences,50110,Literary Journalism; Narrative Form; Empathy; Media Culture; Stanley Kubrick; Cinematic Narrative; American Literature; Journalistic Ethics; Cultural History; Global Journalism,"This cluster of papers explores the history, practice, and cultural impact of literary journalism, focusing on narrative forms, empathy in storytelling, media c"
T10742,Peer-to-Peer Network Technologies,Computer Networks and Communications,Computer Science,Physical Sciences,50023,Peer-to-Peer; Scalable; Overlay Networks; Distributed Systems; Content Delivery; Routing Protocols; Multicast; Resilient Networks; File Sharing; Internet Applications,"This cluster of papers focuses on scalable peer-to-peer network architectures, including overlay networks, distributed systems, content delivery, routing protoc"
T14325,Diverse Specialized Academic Research,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,50023,Globalisation; Economic Development; Financial Crisis; Monetary Policy; International Trade; Market Integration; Sustainability; Innovation Systems; Venture Capital; Multiculturalism,"This cluster of papers covers a wide range of topics in global economics, including globalisation, economic development, financial crises, monetary policy, inte"
T12766,Interdisciplinary Research and Collaboration,Information Systems and Management,Decision Sciences,Social Sciences,50013,Interdisciplinary Research; Team Science; Transdisciplinarity; Collaboration; Education; Evaluation; Funding; Philosophical Dialogue; Health Research; Barriers and Strategies,"This cluster of papers explores the theory, practice, and challenges of interdisciplinary research, team science, and transdisciplinarity. It covers topics such"
T13145,Crime and Detective Fiction Studies,Literature and Literary Theory,Arts and Humanities,Social Sciences,50010,Sherlock Holmes; Detective Stories; Forensic Science; Criminality; Gothic Literature; Identity; Urban Geography; Racial Representation; Feminist Crime Fiction; Globalization,"This cluster of papers explores the evolution of crime fiction in modern literature, with a focus on iconic detectives like Sherlock Holmes, forensic science, s"
T12420,Silicone and Siloxane Chemistry,Materials Chemistry,Materials Science,Physical Sciences,49972,Polyhedral Oligomeric Silsesquioxanes; Nanocomposites; Hybrid Materials; Thermal Properties; Organic-Inorganic; Nanoparticles; Catalysis; Epoxy Networks; Morphology; Space Environment Effects,This cluster of papers focuses on the advancements in the research and applications of Polyhedral Oligomeric Silsesquioxanes (POSS). The topics covered include 
T11172,Dermatologic Treatments and Research,Dermatology,Medicine,Health Sciences,49946,Hypertrophic Scarring; Keloids; Fractional Photothermolysis; Scar Management; Melasma; Radiofrequency Treatment; Wound Healing; Dermal Remodeling; Laser Resurfacing; Collagen Induction Therapy,"This cluster of papers focuses on the pathophysiology, treatment strategies, and management of skin scarring, including hypertrophic scarring, keloids, and mela"
T13785,Aquatic and Environmental Studies,Earth-Surface Processes,Earth and Planetary Sciences,Physical Sciences,49873,Numerical Modeling; Hydrodynamic Processes; Shallow Water Flows; Coastal Zone; Sediment Transport; High-Performance Computing; Ecosystem Models; Biological Rehabilitation; Wave Processes; Environmenta,"This cluster of papers focuses on the numerical modeling and analysis of coastal hydrodynamic processes in shallow water basins, including sediment transport, w"
T13059,"Religion, Ecology, and Ethics",Sociology and Political Science,Social Sciences,Social Sciences,49864,Religion; Environment; Climate Change; Ethics; Conservation; Sustainability; Christianity; Islam; Environmental Ethics; Public Perception,"This cluster of papers explores the influence of various religious beliefs, values, and practices on environmental concern, activism, and attitudes towards clim"
T11094,Face Recognition and Perception,Cognitive Neuroscience,Neuroscience,Life Sciences,49844,Face Perception; Neural Mechanisms; Visual Cortex; Emotional Expressions; fMRI Data; Social Cognition; Object Recognition; Facial Identity; Cortical Processing; Emotion Recognition,"This cluster of papers explores the neural mechanisms underlying face perception, recognition, and emotional expression processing in the human brain. It delves"
T12090,Language and cultural evolution,Cultural Studies,Social Sciences,Social Sciences,49833,Cultural Evolution; Language; Social Learning; Phylogenetics; Human Adaptation; Cumulative Culture; Evolutionary Dynamics; Semantic Change; Linguistic Diversity; Symbol Grounding,"This cluster of papers explores the evolutionary dynamics of cultural evolution, with a focus on language development, social learning strategies, phylogenetics"
T12516,Advanced Mathematical Theories and Applications,Statistical and Nonlinear Physics,Physics and Astronomy,Physical Sciences,49785,E-Infinity Theory; Cantorian-Fractal; Quantum Physics; High Energy Particle Physics; Golden Ratio; Fibonacci Numbers; Lucas Numbers; Hilbert Space; Dark Energy; Quantum Gravity,"This cluster of papers revolves around the E-Infinity theory, a Cantorian-fractal theory of quantum physics, and its applications in high energy particle physic"
T10690,Vibration Control and Rheological Fluids,Civil and Structural Engineering,Engineering,Physical Sciences,49707,Magnetorheological Fluids; Passive Vibration Isolators; Active Suspension Systems; Nonlinear Energy Sinks; Tuned Mass Dampers; Inerter-based Devices; Electrorheological Fluids; Vibration Absorbers; Sm,"This cluster of papers focuses on the advances in structural vibration control systems, including the use of magnetorheological fluids, passive and active vibra"
T13285,Local Governance and Development,"Geography, Planning and Development",Social Sciences,Social Sciences,49705,Village Fund; Local Government; Rural Development; Community Empowerment; Sustainable Development Goals; Village-Owned Enterprises; Financial Accountability; Economic Independence; Social Innovation; ,"This cluster of papers focuses on rural village development and governance, including topics such as the Village Fund, local government financial accountability"
T11863,"Gender, Security, and Conflict",Gender Studies,Social Sciences,Social Sciences,49668,Sexual Violence; Gender Inequality; Military Masculinity; Feminist Perspectives; War Crimes; Peacebuilding; UN Resolution 1325; Wartime Rape; Women in Conflict; Gender-based Violence,"This cluster of papers explores the intersection of gender dynamics, armed conflict, and security, with a focus on sexual violence, gender inequality, military "
T12081,Aerodynamics and Fluid Dynamics Research,Aerospace Engineering,Engineering,Physical Sciences,49652,Aerodynamics; High-Speed Trains; Crosswind; Turbulent Wake; Ground Effect; Wind Tunnel; Flow Structures; Drag Reduction; Vehicle Dynamics; Railway Bridges,"This cluster of papers focuses on the aerodynamic characteristics, crosswind effects, turbulent wakes, and drag reduction techniques for high-speed trains and v"
T11219,Bone Metabolism and Diseases,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,49634,Osteoclast Differentiation; Bone Resorption; RANKL Signaling; Osteoblast Differentiation; Bone Formation; Regulation of Bone Homeostasis; Osteoprotegerin; Tumor Necrosis Factor-a; Oxidative Stress; Im,"This cluster of papers explores the molecular mechanisms underlying osteoclast differentiation, bone resorption, and the regulation of bone homeostasis. It delv"
T11818,Nicotinic Acetylcholine Receptors Study,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,49611,Nicotinic Acetylcholine Receptors; Crystal Structure; Neuronal Signaling; Allosteric Modulation; Cognitive Function; Ion Channel; Cholinergic System; Brain Reward Areas; Schizophrenia; Alzheimer's Dis,"This cluster of papers focuses on the structure and function of nicotinic acetylcholine receptors, including their crystal structures, neuronal signaling mechan"
T10952,PI3K/AKT/mTOR signaling in cancer,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,49604,mTOR; signaling; PI3K/AKT pathway; cancer; growth control; metabolism; Raptor; TSC2; rapamycin; cell growth,"This cluster of papers focuses on the mTOR signaling pathway, particularly its role in growth control, metabolism, and disease, with a specific emphasis on canc"
T12261,Statistical Mechanics and Entropy,Statistical and Nonlinear Physics,Physics and Astronomy,Physical Sciences,49577,Nonextensive Statistical Mechanics; Long-Range Interactions; Tsallis Statistics; Generalized Entropies; Superstatistics; Non-Gaussian Statistics; Anomalous Diffusion; Thermodynamic Equilibrium; Fokker,"This cluster of papers focuses on the statistical mechanics of systems with long-range interactions and nonextensive behavior, characterized by Tsallis statisti"
T14428,Coal and Coke Industries Research,Fuel Technology,Energy,Physical Sciences,49561,Coal Industry; Oxidative Desulphurisation; Coke Production; Neural Networks; Coking Conditions; Coal Quality; Coke Yield Prediction; Coke Quality Parameters; Mineral Components; Sulfur Content,"This cluster of papers focuses on the quantitative analysis and future development of China's coal industry, including topics such as oxidative desulphurisation"
T13531,Surface and Thin Film Phenomena,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,Physical Sciences,49557,Superconductivity; Quantum Size Effects; Thin Films; Surface States; Electronic Structure; Metallic Nanostructures; Atomic Chains; Quantum Well States; Electron-Phonon Interaction; Scanning Tunneling ,"This cluster of papers explores the influence of quantum size effects on the electronic and superconducting properties of metallic nanostructures, particularly "
T11255,Microfluidic and Bio-sensing Technologies,Biomedical Engineering,Engineering,Physical Sciences,49549,Microfluidics; Particle Separation; Acoustic Manipulation; Dielectrophoresis; Cell Sorting; Inertial Focusing; Lab-on-a-Chip; Impedance Spectroscopy; Continuous Flow; Acoustofluidics,"This cluster of papers focuses on the use of microfluidic techniques for manipulating and separating particles, cells, and biological entities. The papers cover"
T11338,Advancements in Photolithography Techniques,Electrical and Electronic Engineering,Engineering,Physical Sciences,49512,Electron Beam Lithography; Nanofabrication; Resolution Limits; Chemically Amplified Resists; Extreme Ultraviolet Lithography; Line Edge Roughness; Nanolithography Techniques; Patterning Materials; Hig,"This cluster of papers focuses on electron beam lithography, nanofabrication, and resolution limits in lithography techniques. It explores the applications of e"
T12350,Particle Dynamics in Fluid Flows,Ocean Engineering,Engineering,Physical Sciences,49444,Turbulence; Particles; Multiphase Flow; Particle-Laden Flows; Collision; Deposition; Clustering; Two-Phase Flow; Lagrangian Simulation; Inertial Particles,This cluster of papers focuses on the interaction between turbulent flows and dispersed particles or droplets. It covers various aspects such as particle collis
T13815,Islamic Thought and Society Studies,Religious studies,Arts and Humanities,Social Sciences,49438,Islamic Studies; Theology; Religious Language; Mu'tazilite Thought; Hadith Criticism; Alevism; Sufism; Deism; Kalam; Religious Pluralism,"This cluster of papers covers a wide range of topics in Islamic studies and theology, including religious language, Mu'tazilite thought, hadith criticism, Alevi"
T10879,Robotic Locomotion and Control,Biomedical Engineering,Engineering,Physical Sciences,49411,Bipedal Locomotion; Dynamic Walking; Central Pattern Generators; Legged Robots; Passive-Dynamic Walkers; Quadruped Robots; Humanoid Robots; Control of Locomotion; Gait Generation; Robotics Biomechanic,"This cluster of papers explores the biomechanics and control strategies for bipedal locomotion in robots and animals. It covers topics such as dynamic walking, "
T11055,Cardiac and Coronary Surgery Techniques,Surgery,Medicine,Health Sciences,49383,Coronary Artery Bypass Surgery; Cardiopulmonary Bypass; Neurocognitive Function; Inflammatory Response; Graft Patency; Off-Pump Surgery; Internal Mammary Artery Grafts; Stroke After Cardiac Surgery; M,"This cluster of papers focuses on various aspects of cardiac surgery, particularly coronary artery bypass surgery, comparing on-pump versus off-pump techniques,"
T11229,Genetics and Plant Breeding,Plant Science,Agricultural and Biological Sciences,Life Sciences,49365,Cultivar Evaluation; Genotype-by-Environment Interaction; Biplot Analysis; Plant Breeding; Drought Tolerance; Genetic Improvement; Multi-Environment Trials; Stability Analysis; GGE Biplot; Heritabilit,"This cluster of papers focuses on the evaluation of cultivars in various environments, particularly emphasizing genotype-by-environment interaction, biplot anal"
T11701,Space Satellite Systems and Control,Aerospace Engineering,Engineering,Physical Sciences,49358,Space Debris; On-Orbit Servicing; Active Debris Removal; Space Robotics; Tethered Satellite Systems; Orbit Determination; Collision Probability; Laser Propulsion; Pose Estimation; Electrodynamic Tethe,This cluster of papers focuses on the technologies and methods related to space debris removal and on-orbit servicing. It covers topics such as active debris re
T12976,Magnetic and Electromagnetic Effects,Physiology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,49333,Magnetic Fields; Water Treatment; Seed Germination; Plant Growth; Calcium Carbonate Precipitation; Biochemical Changes; Irrigation Water; Electromagnetic Stimulation; Photosynthetic Pigments; Soil Moi,"This cluster of papers explores the influence of magnetic fields on various biological systems, including the effects on water treatment, seed germination, plan"
T11480,Connexins and lens biology,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,49324,Gap Junctions; Connexins; Pannexins; Cell Communication; Channel Regulation; Neuronal Synchronization; Cataract Formation; Astrocyte Function; Hemichannels; Ocular Diseases,"This cluster of papers explores the structure, function, regulation, and role of gap junctions and connexins in various biological processes, including cell com"
